text,label
"was suprised that it was more of a ""motel"" than hotel. the parking lot was tiny (as are most in SF) and even though i was in a 2 door car, i was worried about tight parking. i saw trucks that did it though! the front desk employee was VERY helpful, offerred us a map first off and explained that parking was gauranteed until 11:00pm. we arrived too early to check in (around 11:30am), was told the room would be ready around 2:30pm. ice machine is outside and coin operated (never seen one of those before!). there is a Walgreens a block away and a California Pizza Kitchen and Burger King with in a block or two. not sure if due to exhaustion or not, but ended up getting a GREAT nights sleep, which is almost unheard of while traveling. breakfast is... better than nothing... has a waffle maker, but is mostly granola bars and packaged breakfast rolls. i think there might have been some yogurt. we got to breakfast at about 9:20am and it was so picked over that there wasn't much left. i initally chose this hotel because i thought we'd be relying on public transportation. instead, we ended up renting a car and didn't need to stay so close to the downtown area where space is SO limited. it wasn't bad, but i probably wouldn't stay here again unless i had a tight budget and needed to be close to downtown with out a car.",0
"This Wal-Mart is a little better than the one on 19th Ave and Bethany. (I live pretty much in between the two). I definitely feel more comfortable at this Walmart as opposed to the other one. Customer Service is slightly better. Parking is not too congested. I find good parking every time I come here. Not the cleanest parking lot, though.",0
i feel awful looking at myself in a mirror and calling myself a damn fool struggling with myself to snap out of it for two or three days wondering what it is all about,0
"Returned
Much to small and narrow",0
Your latest update can't view directly to the videos that i tapped to watch!,0
"This hotel is situated right on the Riverwalk and close to lots of other Downtown bars, restaurants and shops. I was travelling alone on this trip and felt safe both inside and outside the hotel at night. My room was on the 18th floor, with a small balcony from which you could peek over and see the Riverwalk with it's millions of Christmas lights twinkling throughout the night. It was lovely to hear boats down below sailing along the Riverwalk filled with choirs singing Chritmas carols. The view of the sunset skyline from this height was gorgeous. The staff were very helpful with getting taxi and directions. It was a little noisy throughout the night from freight trains and other city noises, but if you are staying in a busy city, these sounds are to be expected. A good choice of hotel for the price.",0
"My roommate and I have another friend that works at a local Blockbuster Video. He finds truly awful movies for us and tells us about them. One of them was a ""Christmas Horror"" film starring former professional wrestler Bill Goldberg as a killer Satna Claus. We didn't watch it immediately, but we didn't think there could be anything worse. Apparently, we were wrong. We were shown this slasher film ""starring"" Ken Shamrock versus a murderous scarecrow. At first we thought Ken would actually BE the killer scarecrow, and that's why we wanted to watch, but he wasn't, and that made the movie even worse. What absolutely RUINED the movie was the teen drama. If you want to save your brain cells from trying to escape from your head, NEVER EVER WATCH THIS MOVIE.",0
i suppose if youre feeling interpretively dull,0
"Hi, Today i have withdrawn cash from ATM but i got wrong amount and in the app it is showing much more amount than that.",0
not have been clear,0
