text,label
"Produit conforme au descriptif.
Pour un anniversaire. Et bonne déco de table.",2
"Tres satisfait
Temps de livraison comme mentionné license activé sans soucis",2
"Puzzle et boite en même temps
Ma nièce a adoré ce cadeau. Elle a eu le plaisir de faire le puzzle et l'utilise pour ranger les produits de maquillage.",2
"Quatre ans après le premier volet, nous retrouvons avec joie notre sympathique Hellboy. Comme pour le premier épisode, la réalisation de Guillermo del Toro est de belle facture. Son scénario, coécrit avec Mike Mignola est efficace. Sans omettre l'humour, l'aventure fantastique est dynamisée par des combats et des cascades de haut vol. Elle est admirablement soutenue par une très belle photographie de Guillermo Navarro, des effets visuels réussis, de superbes maquillages (celui de l'amphibien est sublime), des costumes étonnants (bien que celui du Hellboy soit assez primaire) et des décors insolites à souhait : le marché aux trolls avec ses créatures est topissime. Ce film nous propose aussi une belle affiche où nous retrouvons la fine équipe composée de Doug Jones l'amphibien que l'on voit plus dans ce volet, la pétillante Selma Blair et Ron Perlman tout simplement extraordinaire (et méconnaissable) dans le rôle principal du HB.",2
"Colle parfaitement ne bouge plus
Colle parfaitement ne bouge plus",2
Super film que j'ai vu il y a quelques années déjà et que je n'arrive malheureusement pas à trouver . De plus il ne passe pas à la télé . a croire qu'il est censuré ???,2
"Bonne bouillote pour vos soirées d'hiver
Très contente de mon achat. Bien résistante même avec de l'eau bouillante. Je n'ai plus froid aux pieds et soulage mon dos :))",2
"Lettrage très petit !
Le lettrage est vraiment très petit mais on arrive tout de même a le lire. Le lettrage n'est pas n'est pas proportionnel pour la médaille ronde. Mais pour le prix vous pouvez y allez.",2
"Livraison rapide
Livre en excellent état, livré un jour avant la date prévue.",2
"correspond à la description
Elles font leur job, bien kitsch, qualité a priori correcte, on verra dans le temps, merci! Je referais ce choix.",2
"Pratique et élégant
La couleur est bien comme sur la photo. C'est joli, discret, pratique car on peut ajouter une carte ou un billet. Rien à dire pour le moment. Quant à l'usage, je ne sais pas, il est tout neuf !",2
"👍Bonne tenue, déjà plusieurs semaine d’utilisation une fois par jour. Le feutre ne sèche pas",2
"Très bon casque Bluetooth.
Très bon oreille, très bien adaptée aux oreilles, très confortable.La voix est très claire et la qualité est très satisfaisante.Haut - parleur, son bas, clair, donc très facile à mettre dans une poche ou un sac., le microphone HD peut transmettre clairement votre voix, spécialement pour la course, le bicyclette, le voyage à pied, le yoga, le sport, l 'exercice, et d' autres design.Les écouteurs sportifs utilisent la conception de l 'ingénierie humaine pour maintenir le confort, assurer le confort des oreilles et un confort durable.Je suis content de l 'acheter.",2
"Produits mains
Très bien lave les mains très bien",2
"C'est un feel good movie très chouette. Ce film fait du bien, les répliques sont bonnes, les personnages sont bien croqués. J'ai particulièrement aimé le rôle joué par Ramzy, le plus drôle.",2
"Fonctionne sur un chien ou un chat
J'ai changé de maison, mais quelques chats ou chiens de voisins sont venus dans la cour arrière pour faire pipi et caca. très ennuyant. J'ai acheté ce répulsif à ultrasons pour animaux d'extérieur, il est très facile à installer. Son réglage dépend de la taille des animaux que vous souhaitez contrôler.Il semblait empêcher les animaux de venir dans mon jardin. Je recommanderais.",2
"Très original, léger malgré le drame de cette histoire, avec une vrai fin surprenante et parfaite sur tout les points, beaucoup de délicatesse dans la réalisation. On s'attache à la relation qui nait entre les deux protagonistes ( on aimerai que cette fille qui avait tout pour réussir avant cet accident se réveille de cette état dans lequel elle se trouve, que cet homme retrouve gout à la vie et qu'ils continuent à vivre comme ça ensemble mais la réalité est tout autre et cette rencontre tragique entre eux deux donne tout son sens à l'histoire et à cette terre mystérieuse. J'ai vraiment adoré ce film, on se sent émerveiller à la fin du film je ne sais pas pourquoi... quelque chose de plus grand en ressort...vraiment bien!... un chef d'oeuvre qui mérite d'être vu... un très bon moment...à voir!",2
"Dans la lignée des deux précédents, ce troisième volet n'a rien à envier à ses prédécesseurs. L'idée est toujours la même, mais encore une fois, l'intérêt réside dans le fait qu'on cherche à deviner à chaque fois comment vont mourir les personnages. Comme pour le second volet, ce 3è s'ouvre sur une scène d'introduction très bien faite. Les acteurs s'en sortent bien à nouveau. On sent cependant que le concept va s'essouffler, donc le mieux serait de s'arrêter là.",2
"Joli et pratique
Idéal pour ne pas rayer les lunettes :)",2
"Beau et pratique
Belle couverture. Reçu en temps et en heure",2
un bon ptit film des années 80 qui surf sur la vague de the thing et Alien un bon divertissement pour les fans de ce genre de film qui malheureusement c'est éteins (hormis tous les nanars du genre qui sorte de plus en plus et qui sont de plus en plus pourris).,2
"Pratique
Envoi rapide. Ce serait bien si un peu plus de longueur. Mais efficace et tient bien aux écouteurs.",2
un film vraiment très bien réalisé avec de belles images les acteurs très bon Kad Merad joue très bien son rôle je le conseille à tout le monde vraiment génial,2
"Des piles de marque livrées à domicile
Pas grand chose à dire sur des piles, toutefois on ne peut qu'apprécier la livraison à domicile et le prix modéré par rapport aux grandes enseignes de la distribution. Conseil >> évitez les piles ""noname"" qui ne tiennent pas la charge.",2
"Sûrement le film le plus abouti de Miyazaki avec ""Mon voisin Totoro"". La magie de Miyazaki reste la même : ses univers sont encore une fois troubles et envoûtants à la fois. On ne peut d'ailleurs s'empêcher de voir ce ""voyage de Chihiro"" comme un remake du périple d'Alice dans son pays des merveilles, ce qui lui donne un charme sans commune mesure. Bref, encore un chef d'uvre de l'ami Miyazaki qui n'aura pas fini de nous surprendre et surtout de nous faire rêver.",2
"remplacement produit
premier colis perdu par la poste.aussitot remplacer par le vendeur.produit d'exelente qualite tres satisfait.",2
"Très bien
Remplace parfaitement les cache brûleurs de mon barbecue carrefour. Ils sont assez lourds et épais, ce qui laisse penser qu’il dureront un moment",2
"Bon produit
Belle couleur , coque légère ,je recommande",2
"Bon produit
Reçu en temps et en heure. Très bien emballé. Bonne prise en main et comme d'habitude.. les photos sont magnifiques.. Bon rapport qualité / prix",2
"Rarement déçu avec le cinéma espagnol. Précis, toujours efficace, très travaillé et en permanence dans l'originalité. Un film ciselé qui tient en haleine jusqu'à la dernière minute. A ne pas raté ! 4/5 !!!",2
